[2025-07-26 12:12:41] Src: 172.64.155.209 -> Dst:192.168.206.128 | Protocol:6
[2025-07-26 12:12:41] Src: 192.168.206.128 -> Dst:172.64.155.209 | Protocol:6
[2025-07-26 12:12:41] Src: 172.64.155.209 -> Dst:192.168.206.128 | Protocol:6
[2025-07-26 12:12:41] Src: 192.168.206.128 -> Dst:172.64.155.209 | Protocol:6
[2025-07-26 12:12:41] Src: 172.64.155.209 -> Dst:192.168.206.128 | Protocol:6
[2025-07-26 12:12:41] Src: 192.168.206.128 -> Dst:172.64.155.209 | Protocol:6
[2025-07-26 12:12:41] Src: 172.64.155.209 -> Dst:192.168.206.128 | Protocol:6
[2025-07-26 12:12:41] Src: 192.168.206.128 -> Dst:172.64.155.209 | Protocol:6
[2025-07-26 12:12:41] Src: 172.64.155.209 -> Dst:192.168.206.128 | Protocol:6
[2025-07-26 12:12:41] Src: 192.168.206.128 -> Dst:172.64.155.209 | Protocol:6
[2025-07-26 12:12:42] Src: 192.168.206.128 -> Dst:103.66.206.203 | Protocol:6
[2025-07-26 12:12:42] Src: 103.66.206.203 -> Dst:192.168.206.128 | Protocol:6
[2025-07-26 12:12:42] Src: 172.64.155.209 -> Dst:192.168.206.128 | Protocol:6
[2025-07-26 12:12:42] Src: 192.168.206.128 -> Dst:172.64.155.209 | Protocol:6
[2025-07-26 12:12:42] Src: 172.64.155.209 -> Dst:192.168.206.128 | Protocol:6
[2025-07-26 12:12:42] Src: 192.168.206.128 -> Dst:172.64.155.209 | Protocol:6
[2025-07-26 12:12:42] Src: 172.64.155.209 -> Dst:192.168.206.128 | Protocol:6
[2025-07-26 12:12:42] Src: 192.168.206.128 -> Dst:172.64.155.209 | Protocol:6
[2025-07-26 12:12:43] Src: 172.64.155.209 -> Dst:192.168.206.128 | Protocol:6
[2025-07-26 12:12:43] Src: 192.168.206.128 -> Dst:172.64.155.209 | Protocol:6
[2025-07-26 12:12:43] Src: 172.64.155.209 -> Dst:192.168.206.128 | Protocol:6
[2025-07-26 12:12:43] Src: 192.168.206.128 -> Dst:172.64.155.209 | Protocol:6
[2025-07-26 12:12:43] Src: 192.168.206.128 -> Dst:172.64.155.209 | Protocol:6
[2025-07-26 12:12:43] Src: 192.168.206.128 -> Dst:172.64.155.209 | Protocol:6
[2025-07-26 12:12:43] Src: 172.64.155.209 -> Dst:192.168.206.128 | Protocol:6
[2025-07-26 12:12:43] Src: 172.64.155.209 -> Dst:192.168.206.128 | Protocol:6
[2025-07-26 12:12:43] Src: 172.64.155.209 -> Dst:192.168.206.128 | Protocol:6
[2025-07-26 12:12:43] Src: 192.168.206.128 -> Dst:172.64.155.209 | Protocol:6
[2025-07-26 12:12:43] Src: 172.64.155.209 -> Dst:192.168.206.128 | Protocol:6
[2025-07-26 12:12:43] Src: 172.64.155.209 -> Dst:192.168.206.128 | Protocol:6
[2025-07-26 12:12:43] Src: 192.168.206.128 -> Dst:172.64.155.209 | Protocol:6
[2025-07-26 12:12:43] Src: 172.64.155.209 -> Dst:192.168.206.128 | Protocol:6
[2025-07-26 12:12:43] Src: 192.168.206.128 -> Dst:172.64.155.209 | Protocol:6
[2025-07-26 12:12:43] Src: 172.64.155.209 -> Dst:192.168.206.128 | Protocol:6
[2025-07-26 12:12:43] Src: 192.168.206.128 -> Dst:172.64.155.209 | Protocol:6
[2025-07-26 12:12:43] Src: 172.64.155.209 -> Dst:192.168.206.128 | Protocol:6
[2025-07-26 12:12:43] Src: 192.168.206.128 -> Dst:172.64.155.209 | Protocol:6
[2025-07-26 12:12:44] Src: 172.64.155.209 -> Dst:192.168.206.128 | Protocol:6
[2025-07-26 12:12:44] Src: 192.168.206.128 -> Dst:172.64.155.209 | Protocol:6
[2025-07-26 12:12:44] Src: 172.64.155.209 -> Dst:192.168.206.128 | Protocol:6
[2025-07-26 12:12:44] Src: 192.168.206.128 -> Dst:172.64.155.209 | Protocol:6
[2025-07-26 12:12:44] Src: 172.64.155.209 -> Dst:192.168.206.128 | Protocol:6
[2025-07-26 12:12:44] Src: 192.168.206.128 -> Dst:172.64.155.209 | Protocol:6
[2025-07-26 12:12:45] Src: 172.64.155.209 -> Dst:192.168.206.128 | Protocol:6
[2025-07-26 12:12:45] Src: 192.168.206.128 -> Dst:172.64.155.209 | Protocol:6
[2025-07-26 12:12:45] Src: 172.64.155.209 -> Dst:192.168.206.128 | Protocol:6
[2025-07-26 12:12:45] Src: 192.168.206.128 -> Dst:172.64.155.209 | Protocol:6
[2025-07-26 12:12:45] Src: 172.64.155.209 -> Dst:192.168.206.128 | Protocol:6
[2025-07-26 12:12:45] Src: 192.168.206.128 -> Dst:172.64.155.209 | Protocol:6
[2025-07-26 12:12:45] Src: 172.64.155.209 -> Dst:192.168.206.128 | Protocol:6
[2025-07-26 12:12:45] Src: 192.168.206.128 -> Dst:172.64.155.209 | Protocol:6
[2025-07-26 12:12:45] Src: 172.64.155.209 -> Dst:192.168.206.128 | Protocol:6
[2025-07-26 12:12:45] Src: 192.168.206.128 -> Dst:172.64.155.209 | Protocol:6
[2025-07-26 12:12:46] Src: 172.64.155.209 -> Dst:192.168.206.128 | Protocol:6
[2025-07-26 12:12:46] Src: 192.168.206.128 -> Dst:172.64.155.209 | Protocol:6
[2025-07-26 12:12:46] Src: 172.64.155.209 -> Dst:192.168.206.128 | Protocol:6
[2025-07-26 12:12:46] Src: 192.168.206.128 -> Dst:172.64.155.209 | Protocol:6
[2025-07-26 12:12:46] Src: 172.64.155.209 -> Dst:192.168.206.128 | Protocol:6
[2025-07-26 12:12:46] Src: 192.168.206.128 -> Dst:172.64.155.209 | Protocol:6
[2025-07-26 12:12:46] Src: 172.64.155.209 -> Dst:192.168.206.128 | Protocol:6
[2025-07-26 12:12:46] Src: 192.168.206.128 -> Dst:172.64.155.209 | Protocol:6
[2025-07-26 12:12:47] Src: 172.64.155.209 -> Dst:192.168.206.128 | Protocol:6
[2025-07-26 12:12:47] Src: 192.168.206.128 -> Dst:172.64.155.209 | Protocol:6
[2025-07-26 12:12:47] Src: 172.64.155.209 -> Dst:192.168.206.128 | Protocol:6
[2025-07-26 12:12:47] Src: 192.168.206.128 -> Dst:172.64.155.209 | Protocol:6
[2025-07-26 12:12:47] Src: 172.64.155.209 -> Dst:192.168.206.128 | Protocol:6
[2025-07-26 12:12:47] Src: 192.168.206.128 -> Dst:172.64.155.209 | Protocol:6
[2025-07-26 12:12:47] Src: 172.64.155.209 -> Dst:192.168.206.128 | Protocol:6
[2025-07-26 12:12:47] Src: 192.168.206.128 -> Dst:172.64.155.209 | Protocol:6
[2025-07-26 12:12:48] Src: 172.64.155.209 -> Dst:192.168.206.128 | Protocol:6
[2025-07-26 12:12:48] Src: 192.168.206.128 -> Dst:172.64.155.209 | Protocol:6
[2025-07-26 12:12:48] Src: 172.64.155.209 -> Dst:192.168.206.128 | Protocol:6
[2025-07-26 12:12:48] Src: 192.168.206.128 -> Dst:172.64.155.209 | Protocol:6
[2025-07-26 12:12:48] Src: 172.64.155.209 -> Dst:192.168.206.128 | Protocol:6
[2025-07-26 12:12:48] Src: 192.168.206.128 -> Dst:172.64.155.209 | Protocol:6
[2025-07-26 12:12:48] Src: 172.64.155.209 -> Dst:192.168.206.128 | Protocol:6
[2025-07-26 12:12:48] Src: 192.168.206.128 -> Dst:172.64.155.209 | Protocol:6
[2025-07-26 12:12:49] Src: 172.64.155.209 -> Dst:192.168.206.128 | Protocol:6
[2025-07-26 12:12:49] Src: 192.168.206.128 -> Dst:172.64.155.209 | Protocol:6
